sk_respondente,sk_pergunta,publico,bloco,pergunta_slug,valor_texto,valor_numerico,carimbo,fonte
58,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:28:02.528,pesquisa_primaria
59,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-25 14:29:55.644,pesquisa_primaria
60,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:30:02.648,pesquisa_primaria
61,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:31:27.290,pesquisa_primaria
62,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:32:02.864,pesquisa_primaria
63,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-25 14:33:02.846,pesquisa_primaria
64,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:35:50.118,pesquisa_primaria
65,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:37:25.286,pesquisa_primaria
66,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:39:04.595,pesquisa_primaria
67,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 14:56:47.032,pesquisa_primaria
68,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 15:03:59.150,pesquisa_primaria
69,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 15:07:37.987,pesquisa_primaria
70,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 15:14:08.945,pesquisa_primaria
71,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 15:27:57.886,pesquisa_primaria
72,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 15:30:24.891,pesquisa_primaria
73,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-25 16:26:56.616,pesquisa_primaria
74,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 16:31:10.726,pesquisa_primaria
75,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-25 17:11:01.770,pesquisa_primaria
76,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 20:13:04.614,pesquisa_primaria
77,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 21:04:08.540,pesquisa_primaria
78,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 21:48:56.259,pesquisa_primaria
79,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 22:38:28.375,pesquisa_primaria
